Name,User ID,External ID,Student Grade Level,Course Name,Teacher,Progress,Target Progress,Actual Grade,Overall Grade,Relative Grade,Pacing,Complete,Start Date,Target Date,Last Gradebook Entry,Active Time,Enrollment Status,Assignment Status
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 Algebra 1 A,Bastin Hernandez,22.0,20.5,88.0,88.0,88.0,1.5,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,20:09:25,Active,
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 English 10 A,Ortiz,20.5,20.1,91.0,91.0,91.0,0.4,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,3:04:52,Active,
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 Attendance Course,Goyal,100.0,100.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/23/2026 10:15 AM,0:12:00,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Geometry A,Ortiz,12.0,19.2,76.0,76.0,76.0,-7.2,No,8/26/2026,1/22/2027,9/23/2026 10:15 AM,34:06:23,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Biology A,Nguyen,15.5,21.6,74.0,74.0,74.0,-6.1,No,8/26/2026,1/22/2027,9/23/2026 10:15 AM,37:03:58,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 World History A,Ortiz,19.0,21.0,82.0,82.0,82.0,-2.0,No,8/26/2026,1/22/2027,9/23/2026 10:15 AM,32:13:02,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Attendance Course,Goyal,40.0,40.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Algebra 2 A,Bastin Hernandez,3.0,38.4,52.0,52.0,52.0,-35.4,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,5:27:26,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Chemistry A,Nguyen,5.5,36.5,58.0,58.0,58.0,-31.0,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,4:15:05,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Attendance Course,Goyal,20.0,20.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/10/2026 10:15 AM,0:12:00,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 US History B,Ortiz,81.0,100.0,71.0,71.0,71.0,-19.0,No,8/26/2026,9/15/2026,9/22/2026 10:15 AM,35:27:03,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 Precalculus A,Bastin Hernandez,18.0,21.5,85.0,85.0,85.0,-3.5,No,8/26/2026,1/22/2027,9/22/2026 10:15 AM,36:07:14,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 Attendance Course,Goyal,35.0,35.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/22/2026 10:15 AM,0:12:00,Active,Pending Grading
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 English 9 A,Ortiz,4.0,20.3,65.0,65.0,65.0,-16.3,No,8/26/2026,1/22/2027,8/28/2026 10:15 AM,40:40:37,Active,
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 Physical Science A,Nguyen,6.0,20.0,70.0,70.0,70.0,-14.0,No,8/26/2026,1/22/2027,8/28/2026 10:15 AM,3:36:37,Active,
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 Attendance Course,Goyal,10.0,10.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,8/28/2026 10:15 AM,0:12:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Algebra 1 A,Bastin Hernandez,0.0,0.0,0.0,0.0,0.0,0.0,No,9/21/2026,1/22/2027,,0:00:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Health,Nguyen,0.0,0.0,0.0,0.0,0.0,0.0,No,9/21/2026,1/22/2027,,0:00:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Attendance Course,Goyal,0.0,0.0,0.0,0.0,0.0,0.0,No,9/21/2026,6/10/2027,,0:00:00,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Economics,Ortiz,98.5,86.5,93.0,93.0,93.0,12.0,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,25:03:14,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Government,Ortiz,24.0,21.5,90.0,90.0,90.0,2.5,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,2:35:54,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Attendance Course,Goyal,45.0,45.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Spanish 1 A,Nguyen,21.0,20.2,84.0,84.0,84.0,0.8,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,8:18:26,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Geometry A,Ortiz,19.5,20.7,79.0,79.0,79.0,-1.2,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,9:34:07,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Attendance Course,Goyal,30.0,30.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/16/2026 10:15 AM,0:12:00,Active,
"Ibarra, Mateo",mibarra,AZ KL 412009,10,IC 26-27 Biology A,Nguyen,40.0,48.0,60.0,60.0,60.0,-8.0,No,8/26/2026,1/22/2027,8/16/2026 10:15 AM,36:19:35,Archived,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 English 11 A,Ortiz,14.0,23.5,72.0,72.0,72.0,-9.5,No,8/26/2026,1/22/2027,9/21/2026 10:15 AM,11:06:37,Active,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 Algebra 2 A,Bastin Hernandez,10.0,22.0,69.4,69.4,69.4,-12.0,No,8/26/2026,1/22/2027,9/21/2026 10:15 AM,36:40:12,Active,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 Attendance Course,Goyal,25.0,25.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/21/2026 10:15 AM,0:12:00,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Financial Literacy,two teachers,30.0,24.5,95.0,95.0,95.0,5.5,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,23:06:35,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Physics A,Nguyen,16.0,20.9,77.0,77.0,77.0,-4.9,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,4:36:03,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Attendance Course,Goyal,100.0,100.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 English 9 A,Ortiz,35.0,20.8,96.0,96.0,96.0,14.2,No,8/26/2026,1/22/2027,9/25/2026 10:15 AM,39:13:31,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 Earth Science A,Nguyen,31.0,21.1,92.0,92.0,92.0,9.9,No,8/26/2026,1/22/2027,9/25/2026 10:15 AM,34:27:49,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 Attendance Course,Goyal,50.0,50.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/25/2026 10:15 AM,0:12:00,Active,
