Name,User ID,External ID,Student Grade Level,Course Name,Teacher,Progress,Target Progress,Actual Grade,Overall Grade,Relative Grade,Pacing,Complete,Start Date,Target Date,Last Gradebook Entry,Active Time,Enrollment Status,Assignment Status
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 Algebra 1 A,Bastin Hernandez,13.6,6.1,88.0,88.0,88.0,7.5,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,28:18:45,Active,
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 English 10 A,Ortiz,12.1,5.7,91.0,91.0,91.0,6.4,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,24:56:42,Active,
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 Attendance Course,Goyal,100.0,100.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/23/2026 10:15 AM,0:12:00,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Geometry A,Ortiz,3.6,4.8,76.0,76.0,76.0,-1.2,No,8/26/2026,1/22/2027,9/9/2026 10:15 AM,22:01:29,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Biology A,Nguyen,7.1,7.2,74.0,74.0,74.0,-0.1,No,8/26/2026,1/22/2027,9/9/2026 10:15 AM,22:10:39,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 World History A,Ortiz,10.6,6.6,82.0,82.0,82.0,4.0,No,8/26/2026,1/22/2027,9/9/2026 10:15 AM,7:31:03,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Attendance Course,Goyal,40.0,40.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Algebra 2 A,Bastin Hernandez,0.0,29.4,52.0,52.0,52.0,-29.4,No,8/26/2026,1/22/2027,8/27/2026 10:15 AM,0:00:00,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Chemistry A,Nguyen,0.0,25.0,58.0,58.0,58.0,-25.0,No,8/26/2026,1/22/2027,8/27/2026 10:15 AM,0:00:00,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Attendance Course,Goyal,20.0,20.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/10/2026 10:15 AM,0:12:00,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 US History B,Ortiz,72.6,85.6,71.0,71.0,71.0,-13.0,No,8/26/2026,9/15/2026,9/8/2026 10:15 AM,13:49:18,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 Precalculus A,Bastin Hernandez,9.6,7.1,85.0,85.0,85.0,2.5,No,8/26/2026,1/22/2027,9/8/2026 10:15 AM,8:47:15,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 Attendance Course,Goyal,35.0,35.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/22/2026 10:15 AM,0:12:00,Active,Pending Grading
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 English 9 A,Ortiz,0.0,10.3,65.0,65.0,65.0,-10.3,No,8/26/2026,1/22/2027,8/14/2026 10:15 AM,0:00:00,Active,
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 Physical Science A,Nguyen,0.0,8.0,70.0,70.0,70.0,-8.0,No,8/26/2026,1/22/2027,8/14/2026 10:15 AM,0:00:00,Active,
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 Attendance Course,Goyal,10.0,10.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,8/28/2026 10:15 AM,0:12:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Algebra 1 A,Bastin Hernandez,0.0,0.0,0.0,0.0,0.0,6.0,No,9/21/2026,1/22/2027,,0:00:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Health,Nguyen,0.0,0.0,0.0,0.0,0.0,6.0,No,9/21/2026,1/22/2027,,0:00:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Attendance Course,Goyal,0.0,0.0,0.0,0.0,0.0,0.0,No,9/21/2026,6/10/2027,,0:00:00,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Economics,Ortiz,90.1,72.1,93.0,93.0,93.0,18.0,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,25:25:58,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Government,Ortiz,15.6,7.1,90.0,90.0,90.0,8.5,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,31:05:10,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Attendance Course,Goyal,45.0,45.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Spanish 1 A,Nguyen,12.6,5.8,84.0,84.0,84.0,6.8,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,28:25:35,Active,
