Name,User ID,External ID,Student Grade Level,Course Name,Teacher,Progress,Target Progress,Actual Grade,Overall Grade,Relative Grade,Pacing,Complete,Start Date,Target Date,Last Gradebook Entry,Active Time,Enrollment Status,Assignment Status
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 Algebra 1 A,Bastin Hernandez,22.0,44.5,88.0,88.0,88.0,-22.5,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,30:19:05,Active,
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 English 10 A,Ortiz,20.5,44.1,91.0,91.0,91.0,-23.6,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,9:06:47,Active,
"Alvarez, Diego",dalvarez,MG GH 412001,11,IC 26-27 Attendance Course,Goyal,100.0,100.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/23/2026 10:15 AM,0:12:00,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Geometry A,Ortiz,12.0,43.2,76.0,76.0,76.0,-31.2,No,8/26/2026,1/22/2027,9/23/2026 10:15 AM,21:47:16,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Biology A,Nguyen,15.5,45.6,74.0,74.0,74.0,-30.1,No,8/26/2026,1/22/2027,9/23/2026 10:15 AM,30:53:44,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 World History A,Ortiz,19.0,45.0,82.0,82.0,82.0,-26.0,No,8/26/2026,1/22/2027,9/23/2026 10:15 AM,10:33:01,Active,
"Baker, Priya",pbaker,MG GH 412002,10,IC 26-27 Attendance Course,Goyal,40.0,40.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Algebra 2 A,Bastin Hernandez,3.0,62.4,52.0,52.0,52.0,-59.4,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,13:33:23,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Chemistry A,Nguyen,5.5,60.5,58.0,58.0,58.0,-55.0,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,9:44:34,Active,
"Chen, Marcus",mchen,TH GH 412003,11,IC 26-27 Attendance Course,Goyal,20.0,20.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/10/2026 10:15 AM,0:12:00,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 US History B,Ortiz,81.0,124.0,71.0,71.0,71.0,-43.0,No,8/26/2026,9/15/2026,9/22/2026 10:15 AM,1:48:33,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 Precalculus A,Bastin Hernandez,18.0,45.5,85.0,85.0,85.0,-27.5,No,8/26/2026,1/22/2027,9/22/2026 10:15 AM,19:41:55,Active,
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 Attendance Course,Goyal,35.0,35.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/22/2026 10:15 AM,0:12:00,Active,Pending Grading
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 English 9 A,Ortiz,4.0,44.3,65.0,65.0,65.0,-40.3,No,8/26/2026,1/22/2027,8/28/2026 10:15 AM,5:44:54,Active,
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 Physical Science A,Nguyen,6.0,44.0,70.0,70.0,70.0,-38.0,No,8/26/2026,1/22/2027,8/28/2026 10:15 AM,16:33:23,Active,
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 Attendance Course,Goyal,10.0,10.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,8/28/2026 10:15 AM,0:12:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Algebra 1 A,Bastin Hernandez,0.0,24.0,0.0,0.0,0.0,-24.0,No,9/21/2026,1/22/2027,,0:00:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Health,Nguyen,0.0,24.0,0.0,0.0,0.0,-24.0,No,9/21/2026,1/22/2027,,0:00:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Attendance Course,Goyal,0.0,0.0,0.0,0.0,0.0,0.0,No,9/21/2026,6/10/2027,,0:00:00,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Economics,Ortiz,98.5,110.5,93.0,93.0,93.0,-12.0,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,10:22:49,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Government,Ortiz,24.0,45.5,90.0,90.0,90.0,-21.5,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,14:34:34,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Attendance Course,Goyal,45.0,45.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Spanish 1 A,Nguyen,21.0,44.2,84.0,84.0,84.0,-23.2,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,32:21:40,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Geometry A,Ortiz,19.5,44.7,79.0,79.0,79.0,-25.2,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,14:39:51,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Attendance Course,Goyal,30.0,30.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/16/2026 10:15 AM,0:12:00,Active,
